base_district_code,adjacent_district_code,distance
11680,11215,3.89
11680,11650,3.95
11680,11200,5.2
11680,11710,5.25
11680,11170,5.33
11740,11710,2.3
11740,11215,3.78
11740,11680,6.91
11740,11200,8.52
11740,11230,8.91
11305,11350,3.17
11305,11320,3.74
11305,11290,5.65
11305,11260,6.96
11305,11230,7.36
11500,11470,4.05
11500,11440,4.91
11500,11560,4.95
11500,11530,7.01
11500,11410,8.32
11620,11590,3.93
11620,11545,4.97
11620,11530,5.99
11620,11170,6.9
11620,11650,7.17
11215,11710,3.41
11215,11740,3.78
11215,11680,3.89
11215,11200,4.87
11215,11230,5.48
11530,11470,3.03
11530,11560,3.53
11530,11545,4.05
11530,11590,4.96
11530,11620,5.99
11545,11530,4.05
11545,11620,4.97
11545,11590,6.73
11545,11470,6.96
11545,11560,7.33
11350,11320,1.8
11350,11305,3.17
11350,11260,6.16
11350,11290,8.02
11350,11230,9.0
11320,11350,1.8
11320,11305,3.74
11320,11260,7.95
11320,11290,9.21
11320,11230,10.5
11230,11200,1.25
11230,11290,2.63
11230,11140,3.89
11230,11110,5.34
11230,11215,5.48
11590,11620,3.93
11590,11560,4.11
11590,11530,4.96
11590,11170,5.02
11590,11470,6.46
11440,11410,3.41
11440,11560,4.46
11440,11500,4.91
11440,11380,5.99
11440,11470,6.3
11410,11440,3.41
11410,11110,3.8
11410,11380,4.45
11410,11140,5.63
11410,11560,6.86
11650,11680,3.95
11650,11170,6.57
11650,11620,7.17
11650,11710,7.4
11650,11215,7.51
11200,11230,1.25
11200,11290,3.4
11200,11140,3.47
11200,11215,4.87
11200,11680,5.2
11290,11230,2.63
11290,11140,3.3
11290,11200,3.4
11290,11110,3.74
11290,11305,5.65
11710,11740,2.3
11710,11215,3.41
11710,11680,5.25
11710,11650,7.4
11710,11200,8.2
11470,11560,2.84
11470,11530,3.03
11470,11500,4.05
11470,11440,6.3
11470,11590,6.46
11560,11470,2.84
11560,11530,3.53
11560,11590,4.11
11560,11440,4.46
11560,11500,4.95
11170,11140,3.55
11170,11110,4.67
11170,11590,5.02
11170,11680,5.33
11170,11200,5.36
11380,11410,4.45
11380,11440,5.99
11380,11110,6.98
11380,11290,8.87
11380,11140,8.91
11110,11140,1.96
11110,11290,3.74
11110,11410,3.8
11110,11170,4.67
11110,11200,5.22
11140,11110,1.96
11140,11290,3.3
11140,11200,3.47
11140,11170,3.55
11140,11230,3.89
11260,11230,5.93
11260,11350,6.16
11260,11200,6.92
11260,11305,6.96
11260,11290,7.0
